title,source,publishedAt,compound_score,sentiment,url
Apple Stock Slips 1.09% as Geopolitical Jitters Offset Fresh Product Momentum,Ibtimes.com.au,2026-03-07 13:46:40+00:00,0.3612,Positive,https://www.ibtimes.com.au/apple-stock-slips-109-geopolitical-jitters-offset-fresh-product-momentum-1862931
"Billionaire Peter Thiel Dumps $74,400,000 Stake in Three Assets, Including One Warren Buffett Favorite",The Daily Hodl,2026-03-07 08:04:26+00:00,0.34,Positive,https://dailyhodl.com/2026/03/07/billionaire-peter-thiel-dumps-74400000-stake-in-three-assets-including-one-warren-buffett-favorite/
The $200 Billion Question: Is Amazon Finally Ready to Pay a Dividend?,Barchart.com,2026-03-07 00:00:02+00:00,0.2168,Positive,https://www.barchart.com/story/news/617144/the-200-billion-question-is-amazon-finally-ready-to-pay-a-dividend
A $100 Billion and More Reasons to Buy Broadcom Stock Now,Barchart.com,2026-03-06 20:40:17+00:00,0.3506,Positive,https://www.barchart.com/story/news/614554/a-100-billion-and-more-reasons-to-buy-broadcom-stock-now
"Apple Just Unveiled the New iPhone 17e. Should You Buy, Sell, or Hold AAPL Stock Now?",Yahoo Entertainment,2026-03-06 20:17:40+00:00,0.0,Neutral,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fd091681-ef10-4009-b4d5-fd71a3936bb9
OKX is building a social network directly into its trading app after massive $25 billion valuation,CoinDesk,2026-03-06 03:00:00+00:00,0.4404,Positive,https://www.coindesk.com/business/2026/03/05/okx-is-building-a-social-network-directly-into-its-trading-app-after-massive-usd25-billion-valuation
Apple just made it easier for people to become customers,Macdailynews.com,2026-03-05 21:40:30+00:00,0.6808,Positive,https://macdailynews.com/2026/03/05/apple-just-made-it-easier-for-people-to-become-customers/
3 world-class ASX ETFs to buy and hold,Motley Fool Australia,2026-03-05 21:15:16+00:00,0.296,Positive,https://www.fool.com.au/2026/03/06/3-world-class-asx-etfs-to-buy-and-hold/
polygon-options-puller added to PyPI,Pypi.org,2026-03-05 10:54:33+00:00,0.0,Neutral,https://pypi.org/project/polygon-options-puller/
caracal-trading added to PyPI,Pypi.org,2026-03-05 08:13:48+00:00,0.0,Neutral,https://pypi.org/project/caracal-trading/
Parallels、Apple A18 Proチップを搭載したMacBook Neoは8GBメモリやファンレス仕様という制限からParallels DesktopによるWindows仮想マシンの構築には向かず、今後検証が必要だと発表。,Applech2.com,2026-03-05 03:53:22+00:00,0.0,Neutral,https://applech2.com/archives/20260305-parallels-desktop-and-macbook-neo-compatibility.html
The easy way to build a diversified ASX share portfolio,Motley Fool Australia,2026-03-05 03:14:41+00:00,0.8749,Positive,https://www.fool.com.au/2026/03/05/the-easy-way-to-build-a-diversified-asx-share-portfolio/
Apple、バグの修正に加えStudio Display (2026)とStudio Display XDRに対応する「iOS/iPadOS 26.3.1」をリリース。,Applech2.com,2026-03-04 21:47:26+00:00,0.0,Neutral,https://applech2.com/archives/20260305-ios-and-ipados-26-3-1-update.html
Apple、バグの修正に加えStudio Display (2026)とStudio Display XDRに対応する「macOS Tahoe 26.3.1」をリリース。,Applech2.com,2026-03-04 21:38:43+00:00,0.0,Neutral,https://applech2.com/archives/20260305-macos-tahoe-26-3-1-update.html
"Ray Dalio: Gold is a better option than Bitcoin, tech stocks because…",Ambcrypto.com,2026-03-04 15:00:34+00:00,0.34,Positive,https://ambcrypto.com/ray-dalio-gold-is-a-better-option-than-bitcoin-tech-stocks-because/
Show HN: AgentBus – Centralized AI Agent-to-Agent Messaging via REST API,Agentbus.org,2026-03-04 01:42:43+00:00,-0.4215,Negative,https://agentbus.org/
The easy way to invest globally is with these ASX ETFs,Motley Fool Australia,2026-03-03 23:32:23+00:00,0.6808,Positive,https://www.fool.com.au/2026/03/04/the-easy-way-to-invest-globally-is-with-these-asx-etfs/
"Most Analysts Are Chasing Memory Stocks, But This 1 Wall Street Expert Thinks You Should Buy Apple Instead",Barchart.com,2026-03-03 21:14:07+00:00,0.5927,Positive,https://www.barchart.com/story/news/544784/most-analysts-are-chasing-memory-stocks-but-this-1-wall-street-expert-thinks-you-should-buy-apple-instead
Apple、M5 Pro/Maxチップと最大2倍高速なSSD、Thunderbolt 5、N1チップによるWi-Fi 7/Bluetooth 6をサポートした「MacBook Pro」を3月11日より発売。,Applech2.com,2026-03-03 19:18:02+00:00,0.0,Neutral,https://applech2.com/archives/20260304-introduce-macbook-pro-m5-pro-and-max.html
langchain-agent-toolbox added to PyPI,Pypi.org,2026-03-03 14:39:25+00:00,0.0,Neutral,https://pypi.org/project/langchain-agent-toolbox/
